Pair_ID,Source_table,Thermometer_calibration,Barometer_calibration,Reference,Run,LEPR_ID,T_C_exp,P_kbar_exp,H2O_Liq_wt_pct,CaTs_Cpx_source_marker,SiO2_Cpx_wt_pct,TiO2_Cpx_wt_pct,Al2O3_Cpx_wt_pct,FeO_Cpx_wt_pct,MnO_Cpx_wt_pct,MgO_Cpx_wt_pct,CaO_Cpx_wt_pct,Na2O_Cpx_wt_pct,K2O_Cpx_wt_pct,P2O5_Cpx_wt_pct,Total_Cpx_wt_pct,SiO2_Liq_wt_pct,TiO2_Liq_wt_pct,Al2O3_Liq_wt_pct,FeO_Liq_wt_pct,MnO_Liq_wt_pct,MgO_Liq_wt_pct,CaO_Liq_wt_pct,Na2O_Liq_wt_pct,K2O_Liq_wt_pct,P2O5_Liq_wt_pct,Total_Liq_wt_pct
Masotta2013_1EA_049,Table 1EA,1,1,Berndt et al. (2001),6-Apr,,840,2,6.4,X,45.77,1.43,6.42,13.49,0.83,7.83,22.82,0.91,0.25,0,99.72,61.56,0.35,21,1.64,0.13,0.14,1.89,6.44,6.84,0,100
Masotta2013_1EA_050,Table 1EA,1,1,Berndt et al. (2001),Jul-35,,880,2,7.4,X,44,1.64,7.66,11.08,0.47,9.69,22.91,0.74,0.17,0,100.18,61.14,0.46,20.74,1.66,0.16,0.28,2.78,5.53,7.26,0,100
Masotta2013_1EA_051,Table 1EA,1,1,Berndt et al. (2001),Jul-36,,880,2,5.9,X,43.68,2.05,9.02,12.09,0.59,8.31,21.97,1.07,0.45,0,100.65,61.68,0.46,20.09,1.49,0.15,0.26,2.16,5.87,7.84,0,100
Masotta2013_1EA_052,Table 1EA,1,1,Berndt et al. (2001),Aug-37,,840,2,8.9,X,43.45,1.52,8.7,12.48,0.53,8.67,22.27,1.08,0.36,0,101.11,62.12,0.21,21.01,1.34,0.13,0.13,2.25,5.43,7.38,0,100
Masotta2013_1EA_053,Table 1EA,1,1,Berndt et al. (2001),Aug-38,,840,2,7.4,,43.24,1.73,7.91,12.91,0.73,8.64,22.14,1.2,0.18,0,101.58,61.94,0.24,20.91,1.34,0.11,0.1,1.47,6.29,7.61,0,100
Masotta2013_1EA_054,Table 1EA,1,1,Berndt et al. (2001),Sept-17,,880,2,7.6,X,44.21,2.26,7.41,12.34,0.42,8.51,23.57,0.5,0.21,0,102.04,60.08,0.58,20.39,2.6,0.13,0.26,3.73,5.14,7.08,0,100
Masotta2013_1EA_055,Table 1EA,1,1,Berndt et al. (2001),Sept-18,,880,2,5.6,X,43.73,2.34,7.25,12.91,0.48,7.99,23.62,0.56,0.21,0,102.51,60.41,0.51,20.39,2.47,0.08,0.22,2.81,5.67,7.43,0,100
Masotta2013_1EA_056,Table 1EA,1,1,Andujar et al. (2010),LN-30,,875,2,3.7,,50.1,1.5,2.48,9.69,0.98,12.6,21,1.66,0,0,100.01,61.5,0.33,19.6,2.34,0.18,0.22,0.7,9.3,5.8,0,100
Masotta2013_1EA_057,Table 1EA,1,1,Andujar et al. (2010),LN-21,,887,2,3.9,,49.9,1.3,3.21,8.8,0.88,12.8,21.3,1.73,0,0,99.92,61.5,0.5,20.2,2.07,0.15,0.22,0.76,9.1,5.5,0,100
Masotta2013_1EA_058,Table 1EA,1,1,Andujar et al. (2010),LN-23,,887,1,4.1,,49.2,1.44,3.86,10.62,1.04,11.3,20.7,1.87,0,0,100.03,61.4,0.49,19.9,2.31,0.16,0.26,0.73,9.1,5.7,0,100
Masotta2013_1EA_059,Table 1EA,1,1,Andujar et al. (2010),LN-25,,925,1,1.9,,48.4,1.9,3.82,10.11,0.75,12.8,20.7,1.54,0,0,100.02,61.3,0.44,19.3,2.53,0.16,0.3,0.82,9.2,5.8,0,100
Masotta2013_1EA_060,Table 1EA,1,1,Andujar et al. (2010),LN-30,,875,2,3.7,,50.1,1.5,2.48,9.69,0.98,12.6,21,1.66,0,0,100.01,61.5,0.33,19.6,2.34,0.18,0.22,0.7,9.3,5.8,0,100
Masotta2013_1EA_061,Table 1EA,1,1,Andujar et al. (2008),18,,850,0.5,0.9,,48.7,3.13,3.12,12.24,1.03,9.53,17.68,3.67,0.08,0,99.18,60.5,0.75,19.7,3,0.23,0.3,0.5,10.1,4.9,0,100
Masotta2013_1EA_062,Table 1EA,1,1,Andujar et al. (2008),20,,775,2.5,9.9,,47.4,2.51,3.62,13.83,1.78,8.13,16.4,4.37,0.04,0,98.08,62.4,0.38,20.3,2.4,0.22,0.14,0.4,9.6,4.2,0,100
Masotta2013_1EA_063,Table 1EA,1,1,Andujar et al. (2008),23,,700,2.5,10.8,,47.4,2.95,4.02,15.33,2.42,6.09,14.02,5.52,0.05,0,97.8,61.1,0.12,20.4,2,0.24,0.07,0.16,9.7,6.2,0,100
Masotta2013_1EA_064,Table 1EA,1,1,Andujar et al. (2008),25,,800,2,6.8,,48.5,2.09,3.46,13.83,1.57,8.51,17.14,3.8,0.09,0,98.99,61.7,0.51,20,2.5,0.28,0.14,0.41,9.9,4.7,0,100
Masotta2013_1EA_065,Table 1EA,1,1,Andujar et al. (2008),27b,,750,2,9.6,,46.1,4.23,3.78,18.91,1.79,3.92,16.72,3.77,0.03,0,99.25,61,0.4,20.7,2.5,0.25,0.08,0.32,10.6,4.1,0,100
Masotta2013_1EA_066,Table 1EA,1,1,Andujar et al. (2008),28b,,800,1,4.1,,47.4,3.61,3.76,14.91,1.27,7.62,16.02,4.25,0.05,0,98.89,60.1,0.7,19.8,3.2,0.29,0.21,0.36,10.8,4.5,0,100
Masotta2013_1EA_067,Table 1EA,1,1,Andujar et al. (2008),35,,825,1,3.8,,45.7,3.01,3.94,15.49,1.26,7.95,16.23,4.38,0.09,0,98.05,60.9,0.67,19.6,3.1,0.28,0.23,0.39,9.4,5.4,0,100
Masotta2013_1EA_068,Table 1EA,1,1,Andujar et al. (2008),38,,725,2.5,9.6,,45.9,3.49,4.17,15.8,1.67,7.03,15.57,4.81,0.04,0,98.48,62.6,0.19,20.6,2.4,0.21,0.06,0.23,8.6,5,0,100
Masotta2013_1EA_069,Table 1EA,1,1,Andujar et al. (2008),43,,830,2,2,,47.3,2.92,3.95,13.68,1.23,8.64,17.09,4.15,0.03,0,98.99,61.9,0.57,19.9,2.6,0.21,0.19,0.44,8.9,5.3,0,100
Masotta2013_1EA_070,Table 1EA,1,1,Andujar et al. (2008),44,,860,2,2,,48.9,1.79,3.16,10.75,1.23,10.81,18.26,3.37,0.12,0,98.39,61.5,0.63,19.8,2.7,0.28,0.32,0.6,8.8,5.4,0,100
Masotta2013_1EA_071,Table 1EA,1,1,Andujar et al. (2008),45,,775,2,5.6,,47.1,3.73,3.68,14.56,1.31,7.2,15.42,4.95,0.1,0,98.05,61,0.47,20.5,2.8,0.23,0.17,0.35,9.5,5,0,100
Masotta2013_1EA_072,Table 1EA,1,1,Andujar and Scaillet (2012),MB-22,,850,1,3.12,,52.3,0.86,0.85,11.3,1.14,11.9,20.8,0.92,0,0,100.07,60.7,0.67,19.4,3.1,0.16,0.28,0.6,9.8,5.34,0,100.05
Masotta2013_1EA_073,Table 1EA,1,1,Andujar and Scaillet (2012),MB-43,,850,0.5,2.79,,51.6,1.35,1.82,11.4,0.99,10.5,20.8,1.54,0.1,0,100.1,60.74,0.66,19.7,3.09,0.19,0.28,0.61,9.4,5.4,0,100.07
Masotta2013_1EA_074,Table 1EA,1,1,Andujar and Scaillet (2012),MB-44,,850,0.5,2.55,,50.2,2.13,2.45,12.3,1.03,9.6,20.5,1.68,0,0,99.89,58.9,0.62,20.4,3.18,0.22,0.32,0.78,10.4,5.24,0,100.06
Masotta2013_1EA_075,Table 1EA,1,1,Andujar and Scaillet (2012),MB-57,,800,2,5.53,,50.6,0.96,2.13,14.9,1.3,7.2,19.9,1.7,0.3,0,98.99,61.5,0.31,19.4,2.67,0.15,0.18,0.45,10.1,5.21,0,99.97
Masotta2013_1EA_076,Table 1EA,1,1,Andujar and Scaillet (2012),MB-58,,800,2,4.79,,50,1.11,2.79,14.5,1.25,7.1,18.6,2.04,0.44,0,97.83,60.3,0.47,20.2,2.36,0.25,0.18,0.54,10.5,5.23,0,100.03
Masotta2013_1EA_077,Table 1EA,1,1,Andujar and Scaillet (2012),MB-111,,850,2,4.56,,50.3,1.38,2.25,12.9,1.04,10.1,20.4,1.66,0,0,100.03,59.9,0.7,19,2.96,0.21,0.32,0.66,10.6,5.7,0,100.05
Masotta2013_1EA_078,Table 1EA,1,1,Andujar and Scaillet (2012),MB-112,,850,2,3.83,,50.9,1.02,1.31,12.5,0.94,10.7,21.3,1.27,0,0,99.94,59.5,0.7,19.3,3.02,0.18,0.33,0.65,10.8,5.6,0,100.08
Masotta2013_1EA_079,Table 1EA,1,1,Andujar and Scaillet (2012),MB-113,,850,2,3.31,,50.5,1,1.65,13.1,1.11,10.7,21.3,0.71,0,0,100.07,59.6,0.6,19,3.11,0.22,0.29,0.68,10.8,5.7,0,100
Masotta2013_1EA_080,Table 1EA,1,1,Andujar and Scaillet (2012),MB-114,,850,0.5,2.79,,50.9,1.27,1.88,12,0.95,11,21.2,0.74,0,0,99.94,60,0.7,19.7,3.05,0.13,0.36,0.63,9.8,5.7,0,100.07
Masotta2013_1EA_081,Table 1EA,1,1,Andujar and Scaillet (2012),MB-117,,850,0.5,1.98,,49.9,1.1,2.34,11.6,1.46,11.3,21.4,0.86,0,0,99.96,59.4,0.7,19.4,3.24,0.31,0.37,0.65,10.2,5.8,0,100.07
Masotta2013_2EA_001,Table 2EA,0,1,Kelemen et al. (1990),,5059,1052,5,4.6,,50.04,1.42,4.09,7.63,0.21,15.28,20.22,0.35,,0.28,99.52,50.8,2.5,17.8,8.5,0.1,2.1,10.1,3.1,0.7,,95.7
