model,target_type,phase,oxide,rel_error,n,median_abs_effect,mean_abs_effect,p90_abs_effect,p95_abs_effect,max_abs_effect,median_signed_effect,mean_signed_effect,qc_failed_n,clipped_to_zero_n,zero_value_no_effect_n
Chi23,T,cpx,CaO_cpx,0.005,295.0,0.0,0.30847457627118646,1.0,1.0,2.0,0.0,0.010169491525423728,1.0,0.0,0.0
Chi23,T,cpx,CaO_cpx,0.01,292.0,1.0,0.6472602739726028,1.0,2.0,3.0,0.0,0.010273972602739725,4.0,0.0,0.0
Chi23,T,cpx,Cr2O3_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0
Chi23,T,cpx,Cr2O3_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0
Chi23,T,cpx,FeO_cpx,0.005,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Chi23,T,cpx,FeO_cpx,0.01,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Chi23,T,cpx,K2O_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
Chi23,T,cpx,K2O_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
Chi23,T,cpx,MgO_cpx,0.005,295.0,1.0,1.8915254237288135,4.0,4.0,6.0,0.0,0.07457627118644068,1.0,0.0,0.0
Chi23,T,cpx,MgO_cpx,0.01,294.0,3.0,3.7346938775510203,8.0,9.0,11.0,1.0,0.1836734693877551,2.0,0.0,0.0
Chi23,T,cpx,MnO_cpx,0.005,296.0,0.0,0.006756756756756757,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Chi23,T,cpx,MnO_cpx,0.01,296.0,0.0,0.02027027027027027,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Chi23,T,cpx,Na2O_cpx,0.005,296.0,0.0,0.10135135135135136,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Chi23,T,cpx,Na2O_cpx,0.01,296.0,0.0,0.2533783783783784,1.0,1.0,1.0,0.0,-0.0033783783783783786,0.0,0.0,0.0
Chi23,T,cpx,NiO_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
Chi23,T,cpx,NiO_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
Chi23,T,cpx,SiO2_cpx,0.005,292.0,2.0,2.078767123287671,4.0,5.0,7.0,0.0,0.05821917808219178,4.0,0.0,0.0
Chi23,T,cpx,SiO2_cpx,0.01,288.0,4.0,4.128472222222222,9.0,10.0,13.0,0.0,0.15625,8.0,0.0,0.0
Chi23,T,cpx,TiO2_cpx,0.005,296.0,0.0,0.02702702702702703,0.0,0.0,1.0,0.0,-0.02027027027027027,0.0,0.0,0.0
Chi23,T,cpx,TiO2_cpx,0.01,296.0,0.0,0.060810810810810814,0.0,1.0,1.0,0.0,-0.013513513513513514,0.0,0.0,0.0
Chi23,T,liq,Al2O3_liq,0.01,296.0,0.0,0.44594594594594594,1.0,1.0,1.0,0.0,-0.013513513513513514,0.0,0.0,0.0
Chi23,T,liq,Al2O3_liq,0.02,296.0,1.0,0.8986486486486487,2.0,2.0,2.0,0.0,-0.0472972972972973,0.0,0.0,0.0
Chi23,T,liq,Al2O3_liq,0.03,296.0,1.0,1.3344594594594594,2.0,2.0,3.0,0.0,-0.07094594594594594,0.0,0.0,0.0
Chi23,T,liq,CaO_liq,0.01,296.0,0.0,0.40540540540540543,1.0,1.0,1.0,0.0,-0.02027027027027027,0.0,0.0,0.0
Chi23,T,liq,CaO_liq,0.02,296.0,1.0,0.8378378378378378,1.0,2.0,2.0,0.0,-0.006756756756756757,0.0,0.0,0.0
Chi23,T,liq,CaO_liq,0.03,296.0,1.0,1.2364864864864864,2.0,2.0,3.0,0.0,-0.013513513513513514,0.0,0.0,0.0
Chi23,T,liq,FeO_liq,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi23,T,liq,FeO_liq,0.02,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi23,T,liq,FeO_liq,0.03,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi23,T,liq,K2O_liq,0.01,296.0,0.0,0.28040540540540543,1.0,1.0,1.0,0.0,0.0033783783783783786,0.0,0.0,0.0
Chi23,T,liq,K2O_liq,0.02,296.0,1.0,0.6081081081081081,1.0,1.0,2.0,0.0,0.033783783783783786,0.0,0.0,0.0
Chi23,T,liq,K2O_liq,0.03,296.0,1.0,0.875,2.0,2.0,2.0,0.0,0.030405405405405407,0.0,0.0,0.0
Chi23,T,liq,MgO_liq,0.01,296.0,0.0,0.05067567567567568,0.0,0.25,1.0,0.0,-0.0033783783783783786,0.0,0.0,0.0
Chi23,T,liq,MgO_liq,0.02,296.0,0.0,0.11824324324324324,1.0,1.0,1.0,0.0,-0.010135135135135136,0.0,0.0,0.0
Chi23,T,liq,MgO_liq,0.03,296.0,0.0,0.16216216216216217,1.0,1.0,1.0,0.0,-0.04054054054054054,0.0,0.0,0.0
Chi23,T,liq,MnO_liq,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi23,T,liq,MnO_liq,0.02,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi23,T,liq,MnO_liq,0.03,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi23,T,liq,Na2O_liq,0.01,296.0,0.0,0.09797297297297297,0.0,1.0,1.0,0.0,-0.02364864864864865,0.0,0.0,0.0
Chi23,T,liq,Na2O_liq,0.02,296.0,0.0,0.23986486486486486,1.0,1.0,1.0,0.0,-0.016891891891891893,0.0,0.0,0.0
Chi23,T,liq,Na2O_liq,0.03,296.0,0.0,0.36824324324324326,1.0,1.0,2.0,0.0,0.0033783783783783786,0.0,0.0,0.0
Chi23,T,liq,SiO2_liq,0.01,296.0,0.0,0.4966216216216216,1.0,1.0,2.0,0.0,-0.016891891891891893,0.0,0.0,0.0
Chi23,T,liq,SiO2_liq,0.02,296.0,1.0,0.9932432432432432,2.0,2.0,4.0,0.0,-0.006756756756756757,0.0,0.0,0.0
Chi23,T,liq,SiO2_liq,0.03,296.0,2.0,1.5202702702702702,2.0,3.0,6.0,0.0,0.013513513513513514,0.0,0.0,0.0
Chi23,T,liq,TiO2_liq,0.01,296.0,0.0,0.02364864864864865,0.0,0.0,1.0,0.0,-0.0033783783783783786,0.0,0.0,0.0
Chi23,T,liq,TiO2_liq,0.02,296.0,0.0,0.05405405405405406,0.0,1.0,1.0,0.0,-0.013513513513513514,0.0,0.0,0.0
Chi23,T,liq,TiO2_liq,0.03,296.0,0.0,0.0777027027027027,0.0,1.0,1.0,0.0,-0.030405405405405407,0.0,0.0,0.0
Jor22,P,cpx,Al2O3_cpx,0.005,296.0,0.0,0.027112894144144126,0.08229166666666671,0.14895833333333333,0.4850000000000003,0.0,0.0002913851351351267,0.0,0.0,0.0
Jor22,P,cpx,Al2O3_cpx,0.01,296.0,0.0074999999999999,0.05554251126126124,0.18916666666666665,0.24206249999999999,0.5482499999999999,0.0,0.010574605855855868,0.0,0.0,0.0
Jor22,P,cpx,CaO_cpx,0.005,295.0,0.0067500000000002,0.04284293785310733,0.13874999999999993,0.1955,0.4850000000000003,0.0,0.001913559322033893,1.0,0.0,0.0
Jor22,P,cpx,CaO_cpx,0.01,292.0,0.02416666666666665,0.07178909817351597,0.21300000000000052,0.30685833333333346,0.4925000000000001,0.0,0.014410673515981732,4.0,0.0,0.0
Jor22,P,cpx,Cr2O3_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0
Jor22,P,cpx,Cr2O3_cpx,0.01,296.0,0.0,0.00025337837837837736,0.0,0.0,0.0749999999999997,0.0,-0.00025337837837837736,0.0,0.0,278.0
Jor22,P,cpx,FeO_cpx,0.005,295.0,0.0,0.010481638418079083,0.027000000000000177,0.06229166666666636,0.2133333333333338,0.0,0.00020932203389830686,1.0,0.0,0.0
Jor22,P,cpx,FeO_cpx,0.01,295.0,0.0,0.02217627118644066,0.0790000000000001,0.13345833333333332,0.4850000000000003,0.0,-0.0011384180790960468,1.0,0.0,0.0
Jor22,P,cpx,K2O_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
Jor22,P,cpx,K2O_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
Jor22,P,cpx,MgO_cpx,0.005,295.0,0.0,0.010884180790960454,0.0249999999999999,0.05379166666666643,0.4850000000000003,0.0,-0.0027830508474576284,1.0,0.0,0.0
Jor22,P,cpx,MgO_cpx,0.01,294.0,0.0,0.020733560090702947,0.06308333333333326,0.12580416666666627,0.4850000000000003,0.0,0.0010731292517006806,2.0,0.0,0.0
Jor22,P,cpx,MnO_cpx,0.005,296.0,0.0,0.0022125563063062994,0.0,0.001874999999999775,0.1558333333333332,0.0,-0.000557150900900896,0.0,0.0,0.0
Jor22,P,cpx,MnO_cpx,0.01,296.0,0.0,0.0064183558558558555,0.00333333333333315,0.031249999999999774,0.2875000000000001,0.0,0.0005579954954955012,0.0,0.0,0.0
Jor22,P,cpx,Na2O_cpx,0.005,296.0,0.0,0.0161706081081081,0.0499999999999998,0.07827083333333315,0.4850000000000003,0.0,-0.0015895270270270302,0.0,0.0,0.0
Jor22,P,cpx,Na2O_cpx,0.01,296.0,0.0,0.028577421171171173,0.0900000000000003,0.15547916666666659,0.4850000000000003,0.0,0.001242961711711717,0.0,0.0,0.0
Jor22,P,cpx,NiO_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
Jor22,P,cpx,NiO_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
Jor22,P,cpx,SiO2_cpx,0.005,292.0,0.0049999999999998,0.051387271689497686,0.18150000000000002,0.23483333333333356,0.7374999999999998,0.0,0.004863299086757993,4.0,0.0,0.0
Jor22,P,cpx,SiO2_cpx,0.01,288.0,0.0250000000000003,0.08527835648148147,0.2612500000000004,0.3450000000000002,0.7958333333333338,0.0,-0.006647569444444424,8.0,0.0,0.0
Jor22,P,cpx,TiO2_cpx,0.005,296.0,0.0,0.01018524774774774,0.02416666666666685,0.0700000000000002,0.2666666666666666,0.0,0.00023592342342342856,0.0,0.0,0.0
Jor22,P,cpx,TiO2_cpx,0.01,296.0,0.0,0.015693130630630624,0.04583333333333335,0.09491666666666668,0.3666666666666667,0.0,-0.003733671171171166,0.0,0.0,0.0
Jor22,P,liq,Al2O3_liq,0.01,296.0,0.020833333333333252,0.0736886261261261,0.21787499999999999,0.2709166666666665,0.5,0.0,0.006422297297297297,0.0,0.0,0.0
Jor22,P,liq,Al2O3_liq,0.02,296.0,0.06708333333333355,0.14168018018018017,0.37541666666666673,0.47549999999999987,0.7958333333333338,0.0,0.015447072072072071,0.0,0.0,0.0
Jor22,P,liq,Al2O3_liq,0.03,296.0,0.13249999999999978,0.19783445945945946,0.4633333333333336,0.5762499999999998,1.2393333333333332,0.0,0.02451689189189191,0.0,0.0,0.0
Jor22,P,liq,CaO_liq,0.01,296.0,0.0,0.009399211711711703,0.03795833333333305,0.07018750000000022,0.1558333333333332,0.0,-0.0008423423423423418,0.0,0.0,0.0
Jor22,P,liq,CaO_liq,0.02,296.0,0.0,0.020104448198198177,0.06837499999999999,0.11856250000000007,0.3333333333333335,0.0,-0.0009884572072072074,0.0,0.0,0.0
Jor22,P,liq,CaO_liq,0.03,296.0,0.0,0.029532094594594577,0.09812500000000005,0.15854166666666653,0.5059999999999998,0.0,0.004969031531531535,0.0,0.0,0.0
Jor22,P,liq,FeO_liq,0.01,296.0,0.0,0.015006193693693697,0.044958333333333406,0.08368750000000019,0.4850000000000003,0.0,0.0019082207207207192,0.0,0.0,0.0
Jor22,P,liq,FeO_liq,0.02,296.0,0.0,0.01882826576576576,0.0650000000000001,0.10895833333333345,0.2666666666666666,0.0,0.0025450450450450355,0.0,0.0,0.0
Jor22,P,liq,FeO_liq,0.03,296.0,0.0,0.028344594594594597,0.09983333333333336,0.15137499999999982,0.3566666666666669,0.0,0.0018018018018018003,0.0,0.0,0.0
Jor22,P,liq,K2O_liq,0.01,296.0,0.0,0.014294763513513505,0.04074999999999955,0.09187500000000025,0.4850000000000003,0.0,-0.0028589527027027013,0.0,0.0,0.0
Jor22,P,liq,K2O_liq,0.02,296.0,0.0,0.021718186936936928,0.0729166666666665,0.1334374999999996,0.4850000000000003,0.0,-0.0034715653153153062,0.0,0.0,0.0
Jor22,P,liq,K2O_liq,0.03,296.0,0.0,0.03204222972972972,0.11858333333333365,0.16791666666666646,0.4850000000000003,0.0,-0.00411486486486485,0.0,0.0,0.0
Jor22,P,liq,MgO_liq,0.01,296.0,0.0,0.005539414414414404,0.0045833333333333,0.020125000000000125,0.2133333333333338,0.0,-0.00046734234234233833,0.0,0.0,0.0
Jor22,P,liq,MgO_liq,0.02,296.0,0.0,0.010122466216216206,0.013333333333333149,0.0756249999999998,0.3063333333333342,0.0,-0.0003493806306306297,0.0,0.0,0.0
Jor22,P,liq,MgO_liq,0.03,296.0,0.0,0.01497156531531531,0.04083333333333325,0.08625,0.4000000000000003,0.0,0.00019960585585585374,0.0,0.0,0.0
Jor22,P,liq,MnO_liq,0.01,296.0,0.0,0.00870523648648648,0.02258333333333335,0.0591874999999999,0.2000833333333336,0.0,0.0034670608108108105,0.0,0.0,0.0
Jor22,P,liq,MnO_liq,0.02,296.0,0.0,0.01644200450450449,0.06049999999999995,0.10874999999999985,0.2225000000000001,0.0,0.0034296171171171153,0.0,0.0,0.0
Jor22,P,liq,MnO_liq,0.03,296.0,0.0,0.027540259009009003,0.09812500000000005,0.1666666666666665,0.3333333333333335,0.0,0.007235078828828831,0.0,0.0,0.0
Jor22,P,liq,Na2O_liq,0.01,296.0,0.0,0.03455855855855852,0.12187500000000015,0.1666666666666665,0.5613333333333341,0.0,-5.461711711710585e-05,0.0,0.0,0.0
Jor22,P,liq,Na2O_liq,0.02,296.0,0.00666666666666655,0.04970129504504503,0.16583333333333325,0.22270833333333345,0.6163333333333343,0.0,-0.0003223536036036045,0.0,0.0,0.0
Jor22,P,liq,Na2O_liq,0.03,296.0,0.0170833333333335,0.0628079954954955,0.19083333333333358,0.2408333333333336,0.6163333333333343,0.0,0.002350225225225226,0.0,0.0,0.0
Jor22,P,liq,SiO2_liq,0.01,296.0,0.0,0.024943130630630618,0.0741666666666667,0.15024999999999988,0.4850000000000003,0.0,-0.0007139639639639576,0.0,0.0,0.0
Jor22,P,liq,SiO2_liq,0.02,296.0,0.00579166666666635,0.044607545045045015,0.1537499999999998,0.20583333333333326,0.6666666666666665,0.0,0.010882882882882874,0.0,0.0,0.0
Jor22,P,liq,SiO2_liq,0.03,296.0,0.020000000000000198,0.06116497747747745,0.17816666666666656,0.23454166666666626,1.233333333333333,0.0,0.00934177927927927,0.0,0.0,0.0
Jor22,P,liq,TiO2_liq,0.01,296.0,0.0,0.006854448198198196,0.0,0.026083333333333326,0.4850000000000003,0.0,-0.0031416103603603626,0.0,0.0,0.0
Jor22,P,liq,TiO2_liq,0.02,296.0,0.0,0.013371058558558552,0.0213333333333334,0.0749999999999997,0.4850000000000003,0.0,-0.004908783783783788,0.0,0.0,0.0
Jor22,P,liq,TiO2_liq,0.03,296.0,0.0,0.018591779279279276,0.044958333333333406,0.13406249999999995,0.4850000000000003,0.0,-0.0033310810810810816,0.0,0.0,0.0
Jor22,T,cpx,Al2O3_cpx,0.005,296.0,0.0,0.1159909909909915,0.0,1.25,5.416666666666743,0.0,-0.02364864864864942,0.0,0.0,0.0
Jor22,T,cpx,Al2O3_cpx,0.01,296.0,0.0,0.21086711711711775,0.8333333333333712,1.6666666666666288,5.416666666666743,0.0,0.023930180180178773,0.0,0.0,0.0
Jor22,T,cpx,CaO_cpx,0.005,295.0,0.0,0.2449152542372893,0.9333333333333522,2.5,5.416666666666743,0.0,0.02401129943502838,1.0,0.0,0.0
Jor22,T,cpx,CaO_cpx,0.01,292.0,0.0,0.36729452054794637,1.3250000000001392,2.5,6.166666666666743,0.0,0.05565068493150724,4.0,0.0,0.0
Jor22,T,cpx,Cr2O3_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0
Jor22,T,cpx,Cr2O3_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0
Jor22,T,cpx,FeO_cpx,0.005,295.0,0.0,0.13107344632768425,0.0,0.9583333333333646,4.666666666666743,0.0,0.04576271186440639,1.0,0.0,0.0
Jor22,T,cpx,FeO_cpx,0.01,295.0,0.0,0.24802259887005676,1.0833333333333712,1.666666666666663,5.0,0.0,0.027683615819209303,1.0,0.0,0.0
Jor22,T,cpx,K2O_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
Jor22,T,cpx,K2O_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
Jor22,T,cpx,MgO_cpx,0.005,295.0,0.0,0.15367231638417977,0.0,1.25,4.166666666666629,0.0,0.011864406779661017,1.0,0.0,0.0
Jor22,T,cpx,MgO_cpx,0.01,294.0,0.0,0.2854308390022659,1.25,2.5,4.166666666666629,0.0,-0.012755102040816714,2.0,0.0,0.0
Jor22,T,cpx,MnO_cpx,0.005,296.0,0.0,0.03800675675675676,0.0,0.0,4.166666666666629,0.0,0.023930180180179925,0.0,0.0,0.0
Jor22,T,cpx,MnO_cpx,0.01,296.0,0.0,0.06981981981981969,0.0,0.0,4.166666666666629,0.0,0.022522522522521626,0.0,0.0,0.0
Jor22,T,cpx,Na2O_cpx,0.005,296.0,0.0,0.07826576576576602,0.0,0.5000000000000568,2.5,0.0,-0.04110360360360386,0.0,0.0,0.0
Jor22,T,cpx,Na2O_cpx,0.01,296.0,0.0,0.15343468468468494,0.3333333333333144,1.25,5.0,0.0,-0.025619369369369115,0.0,0.0,0.0
Jor22,T,cpx,NiO_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
Jor22,T,cpx,NiO_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
Jor22,T,cpx,SiO2_cpx,0.005,292.0,0.0,0.40353881278538906,1.6666666666667311,2.7249999999999943,5.0,0.0,0.06963470319634639,4.0,0.0,0.0
Jor22,T,cpx,SiO2_cpx,0.01,288.0,0.0,0.6874999999999996,2.5,3.333333333333257,7.5,0.0,0.11660879629629722,8.0,0.0,0.0
Jor22,T,cpx,TiO2_cpx,0.005,296.0,0.0,0.0337837837837834,0.0,0.0,3.333333333333257,0.0,0.014076576576576448,0.0,0.0,0.0
Jor22,T,cpx,TiO2_cpx,0.01,296.0,0.0,0.07685810810810811,0.0,0.4999999999999715,3.333333333333257,0.0,-0.0008445945945945946,0.0,0.0,0.0
Jor22,T,liq,Al2O3_liq,0.01,296.0,0.0,1.0933277027027024,3.3333333333333712,5.0,7.5,0.0,-0.008868243243243628,0.0,0.0,0.0
Jor22,T,liq,Al2O3_liq,0.02,296.0,1.25,2.011965090090091,5.0,6.354166666666657,12.5,0.0,0.26872184684684636,0.0,0.0,0.0
Jor22,T,liq,Al2O3_liq,0.03,296.0,2.5,2.8968186936936933,6.875000000000057,8.5625,19.75,0.0,0.4117398648648633,0.0,0.0,0.0
Jor22,T,liq,CaO_liq,0.01,296.0,0.0,0.41807432432432395,1.6666666666666856,2.5,5.0,0.0,0.041385135135133984,0.0,0.0,0.0
Jor22,T,liq,CaO_liq,0.02,296.0,0.0,0.6235923423423425,2.5,2.7499999999999716,5.416666666666743,0.0,0.053772522522520856,0.0,0.0,0.0
Jor22,T,liq,CaO_liq,0.03,296.0,0.0,0.7640765765765772,2.5,3.333333333333257,6.666666666666743,0.0,0.055743243243244395,0.0,0.0,0.0
Jor22,T,liq,FeO_liq,0.01,296.0,0.0,0.6100788288288286,2.5,3.333333333333257,7.5,0.0,-0.0019707207207220008,0.0,0.0,0.0
Jor22,T,liq,FeO_liq,0.02,296.0,0.0,0.9954954954954953,3.333333333333257,4.874999999999943,8.75,0.0,-0.0011261261261270223,0.0,0.0,0.0
Jor22,T,liq,FeO_liq,0.03,296.0,0.0,1.2642173423423428,3.875,5.0,8.75,0.0,-0.07868806306306408,0.0,0.0,0.0
Jor22,T,liq,K2O_liq,0.01,296.0,0.0,0.7145270270270274,2.5,3.75,7.5,0.0,0.07995495495495329,0.0,0.0,0.0
Jor22,T,liq,K2O_liq,0.02,296.0,0.0,1.0947353603603613,3.3333333333333712,5.0,10.0,0.0,-0.0632038288288301,0.0,0.0,0.0
Jor22,T,liq,K2O_liq,0.03,296.0,0.8333333333332575,1.6454110360360354,5.0,6.354166666666657,10.0,0.0,-0.084881756756756,0.0,0.0,0.0
Jor22,T,liq,MgO_liq,0.01,296.0,0.0,0.7836430180180177,2.5,3.75,10.0,0.0,-0.0860078828828834,0.0,0.0,0.0
Jor22,T,liq,MgO_liq,0.02,296.0,0.0,1.1959459459459447,3.75,5.0,10.0,0.0,-0.1227477477477471,0.0,0.0,0.0
Jor22,T,liq,MgO_liq,0.03,296.0,0.8333333333333144,1.6910191441441433,5.0,6.5,10.0,0.0,-0.3613457207207201,0.0,0.0,0.0
Jor22,T,liq,MnO_liq,0.01,296.0,0.0,0.06362612612612664,0.0,0.0,5.416666666666743,0.0,-0.006193693693693438,0.0,0.0,0.0
Jor22,T,liq,MnO_liq,0.02,296.0,0.0,0.12978603603603667,0.0,1.25,5.416666666666743,0.0,-0.03856981981981969,0.0,0.0,0.0
Jor22,T,liq,MnO_liq,0.03,296.0,0.0,0.20720720720720812,0.4166666666667424,1.25,6.25,0.0,-0.08783783783783745,0.0,0.0,0.0
Jor22,T,liq,Na2O_liq,0.01,296.0,0.0,0.17637950450450388,0.0,1.3541666666666572,5.0,0.0,0.029138513513514666,0.0,0.0,0.0
Jor22,T,liq,Na2O_liq,0.02,296.0,0.0,0.31996058558558416,1.25,2.5,5.0,0.0,0.074746621621622,0.0,0.0,0.0
Jor22,T,liq,Na2O_liq,0.03,296.0,0.0,0.3796452702702699,1.4999999999999432,2.5,5.0,0.0,0.08206644144144208,0.0,0.0,0.0
Jor22,T,liq,SiO2_liq,0.01,296.0,2.5,3.133164414414415,7.5,11.34375,16.25,0.0,-0.044763513513513896,0.0,0.0,0.0
Jor22,T,liq,SiO2_liq,0.02,296.0,3.75,5.5105574324324325,13.541666666666686,18.41666666666663,25.25,0.0,0.27012950450450196,0.0,0.0,0.0
Jor22,T,liq,SiO2_liq,0.03,296.0,6.25,8.007319819819823,20.0,23.541666666666686,38.0,0.0,0.7511261261261243,0.0,0.0,0.0
Jor22,T,liq,TiO2_liq,0.01,296.0,0.0,0.12274774774774865,0.0,1.1874999999999716,3.3333333333333712,0.0,-0.03603603603603591,0.0,0.0,0.0
Jor22,T,liq,TiO2_liq,0.02,296.0,0.0,0.3136261261261278,1.25,1.7708333333333997,6.25,0.0,-0.08502252252252393,0.0,0.0,0.0
Jor22,T,liq,TiO2_liq,0.03,296.0,0.0,0.4375000000000008,1.4166666666667425,2.5,6.25,0.0,-0.16441441441441543,0.0,0.0,0.0
NP17,P,cpx,Al2O3_cpx,0.005,296.0,0.00585908811210165,0.006340673645939441,0.008263731403022851,0.008667428943884775,0.0523666549894574,-7.797961405499841e-07,-2.7318770631289913e-05,0.0,0.0,0.0
NP17,P,cpx,Al2O3_cpx,0.01,296.0,0.0117182918994771,0.012701184768098001,0.01652744893365635,0.017330708363105324,0.115955868436929,-3.119253957350153e-06,-0.00011447530845462723,0.0,0.0,0.0
NP17,P,cpx,CaO_cpx,0.005,295.0,0.0314767557862722,0.13856119020373234,0.056016310807464754,0.07468273773898629,10.327806202425846,0.0286645668846006,0.035403814974510416,1.0,0.0,0.0
NP17,P,cpx,CaO_cpx,0.01,292.0,0.06320037078853595,0.28009675481727225,0.12273645233423114,0.16445469886405426,10.773144855742483,0.05764352057266815,0.13840724754492673,4.0,0.0,0.0
NP17,P,cpx,Cr2O3_cpx,0.005,296.0,0.0,1.0768996926634677e-07,0.0,4.7074913389621997e-07,9.280262421640371e-06,0.0,-8.08242361869882e-14,0.0,0.0,278.0
NP17,P,cpx,Cr2O3_cpx,0.01,296.0,0.0,2.1537993844267546e-07,0.0,9.414982420352658e-07,1.856054761972814e-05,0.0,-3.2323093148702916e-13,0.0,0.0,278.0
NP17,P,cpx,FeO_cpx,0.005,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NP17,P,cpx,FeO_cpx,0.01,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NP17,P,cpx,K2O_cpx,0.005,296.0,6.826232858969661e-07,2.0733383364222754e-06,4.675800745701508e-06,7.414048820209018e-06,3.373582959831367e-05,0.0,-9.942299236150894e-12,0.0,0.0,110.0
NP17,P,cpx,K2O_cpx,0.01,296.0,1.3652465717939322e-06,4.1466766761152085e-06,9.35160153936465e-06,1.4828083446438711e-05,6.747197867795762e-05,0.0,-3.976908292169835e-11,0.0,0.0,110.0
NP17,P,cpx,MgO_cpx,0.005,295.0,0.0040085268245348,0.00612300749483677,0.004830069011754954,0.012241786518564945,0.2072187486544834,0.0008756069476216,-0.0004143898784686377,1.0,0.0,0.0
NP17,P,cpx,MgO_cpx,0.01,294.0,0.008025744979860801,0.11029793943404363,0.011768885579979738,0.03588396191110109,9.947859835410496,0.0030956402934947,0.03305495084827761,2.0,0.0,0.0
NP17,P,cpx,MnO_cpx,0.005,296.0,5.1618250667573307e-05,8.793329182710942e-05,7.931887516576808e-05,0.000360585304800725,0.001161870496368,1.8804335866207111e-10,-1.9075288699557705e-08,0.0,0.0,0.0
NP17,P,cpx,MnO_cpx,0.01,296.0,0.00010323644900895,0.00017586683875414185,0.0001586377142306,0.0007211669119984001,0.0023279207427027,7.521734346482845e-10,-7.630263687148108e-08,0.0,0.0,0.0
NP17,P,cpx,Na2O_cpx,0.005,296.0,0.0008911480840153999,0.005028188561096251,0.028959467307014798,0.029938440251291824,0.0318912289164039,5.070553045000885e-08,-1.2931291646520933e-05,0.0,0.0,0.0
NP17,P,cpx,Na2O_cpx,0.01,296.0,0.00178229563812765,0.010056330015923914,0.057918324154857495,0.060035615036666524,0.0639335671534624,2.028221270999409e-07,-5.174119967654111e-05,0.0,0.0,0.0
NP17,P,cpx,NiO_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
NP17,P,cpx,NiO_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
NP17,P,cpx,SiO2_cpx,0.005,292.0,0.030401144900299153,0.03154277280987697,0.031412854540420525,0.033511237353658255,0.3765170285358845,0.0065169541478863995,-0.0005657836728244264,4.0,0.0,0.0
NP17,P,cpx,SiO2_cpx,0.01,288.0,0.060866023681471745,0.1645803900968427,0.06289455509659658,0.07038183742296221,10.35267719841217,0.01485526757138795,0.03721143362182136,8.0,0.0,0.0
NP17,P,cpx,TiO2_cpx,0.005,296.0,0.00036804084427534997,0.00048370327721900864,0.0006898114422266501,0.0008670294928836,0.0076345645099991,2.9164226589103906e-10,-6.056417521593373e-07,0.0,0.0,0.0
