model,target_type,phase,oxide,rel_error,n,median_abs_effect,mean_abs_effect,p90_abs_effect,p95_abs_effect,max_abs_effect,median_signed_effect,mean_signed_effect,qc_failed_n,clipped_to_zero_n,zero_value_no_effect_n
AgL24,P,liq,K2O_liq,0.02,296.0,0.017560387127408802,0.020185086784341624,0.04083438816756275,0.04969690967638125,0.0869339482951794,8.614447237095e-05,0.0005400211083020041,0.0,0.0,0.0
AgL24,P,liq,K2O_liq,0.03,296.0,0.02343293213949675,0.027604543787608557,0.0596724940987809,0.06769824200651328,0.0929891413974211,0.00067307184267215,-0.00013537620042325168,0.0,0.0,0.0
AgL24,P,liq,MgO_liq,0.01,296.0,0.0048001008528846,0.0066272623561731015,0.01661661445858345,0.0201403595531075,0.0347167675837605,0.0,0.00031237594075414054,0.0,0.0,0.0
AgL24,P,liq,MgO_liq,0.02,296.0,0.00794464670352195,0.01003281943758049,0.02186134073690255,0.029054131570805324,0.0741796594206292,0.0,-0.0002312590799408307,0.0,0.0,0.0
AgL24,P,liq,MgO_liq,0.03,296.0,0.00902145260816175,0.012105092430672605,0.0254815894492099,0.03329872325098697,0.0741796594206292,-0.000727321051539,-0.00029031762889821254,0.0,0.0,0.0
AgL24,P,liq,MnO_liq,0.01,296.0,0.00414447599195795,0.005937240859148301,0.01450307618550225,0.01900821400324245,0.0368992759565571,0.0,0.0010626053656012434,0.0,0.0,0.0
AgL24,P,liq,MnO_liq,0.02,296.0,0.00654180032750325,0.008855560767262724,0.01968074062773435,0.0250741751645304,0.0437804746008394,4.607093617314817e-05,0.0006574576044689046,0.0,0.0,0.0
AgL24,P,liq,MnO_liq,0.03,296.0,0.00935130960679805,0.011934014570231199,0.0256168035577415,0.0318922648045274,0.0482201862370317,0.001052271086559,0.000522826474159328,0.0,0.0,0.0
AgL24,P,liq,Na2O_liq,0.01,296.0,0.01563031477175155,0.018650508512521924,0.039000001602419204,0.04667258443433805,0.0651748359669452,0.00058965346119885,0.00237605898458817,0.0,0.0,0.0
AgL24,P,liq,Na2O_liq,0.02,296.0,0.03284912270966295,0.034527734362460094,0.062022111843613656,0.06881730232006994,0.1024110567584726,0.0008701682145848,0.0034992775077398444,0.0,0.0,0.0
AgL24,P,liq,Na2O_liq,0.03,296.0,0.0487637687620576,0.050550357559800904,0.08547303618303645,0.09423319297864173,0.1317268930554691,0.00028569432609155,0.0036908461777710247,0.0,0.0,0.0
AgL24,P,liq,SiO2_liq,0.01,296.0,0.02005993987162205,0.025224178316183114,0.0551689919355795,0.06158143924998088,0.095504232859751,0.0019603319646232503,0.0015237890303102504,0.0,0.0,0.0
AgL24,P,liq,SiO2_liq,0.02,296.0,0.0405489664505611,0.046793404598734246,0.1020133200964803,0.1120581472276842,0.1637284741049995,0.0069283600168139,0.0011163314597280338,0.0,0.0,0.0
AgL24,P,liq,SiO2_liq,0.03,296.0,0.059760546834780354,0.06748668261721602,0.13656870309909097,0.15072856444055646,0.2144184986954584,0.0069856079256682,0.00023295551893866097,0.0,0.0,0.0
AgL24,P,liq,TiO2_liq,0.01,296.0,0.0032255107503029,0.005504945469166292,0.014195845741317801,0.01906818800299455,0.038395354641282,0.0,0.0007967028278183902,0.0,0.0,0.0
AgL24,P,liq,TiO2_liq,0.02,296.0,0.00618004806536195,0.008626188768487291,0.021011618204051348,0.02533928750434405,0.039655899072434,0.0,0.0009232597557964358,0.0,0.0,0.0
AgL24,P,liq,TiO2_liq,0.03,296.0,0.00871040563671995,0.010847418683752427,0.0242115036999148,0.03201725607219335,0.0466319656799605,0.0,0.00047926059448684274,0.0,0.0,0.0
AgL24,T,cpx,Al2O3_cpx,0.005,296.0,0.0625,0.09278663429054054,0.240478515625,0.32708740234375,0.5189208984375,0.0,0.008459142736486486,0.0,0.0,0.0
AgL24,T,cpx,Al2O3_cpx,0.01,296.0,0.11920166015625,0.16650390625,0.38836669921875,0.5635528564453125,1.2269287109375,0.000244140625,0.010588362410261825,0.0,0.0,0.0
AgL24,T,cpx,CaO_cpx,0.005,295.0,0.081787109375,0.30833160917637714,0.9694824218750004,1.4542236328125004,2.983154296875,0.0,0.018606205309851694,1.0,0.0,0.0
AgL24,T,cpx,CaO_cpx,0.01,292.0,0.33447265625,0.5666790269825557,1.5009277343750016,1.7113159179687494,3.2991943359375,0.01824951171875,0.026602340071168663,4.0,0.0,0.0
