rank,model,target_type,phase,oxide,median_abs_effect,p95_abs_effect,max_abs_effect,valid_n,qc_failed_n
4,Chi23,T,cpx,CaO_cpx,1.0,2.0,3.0,292.0,4.0
5,Chi23,T,liq,CaO_liq,1.0,2.0,3.0,296.0,0.0
6,Chi23,T,liq,K2O_liq,1.0,2.0,2.0,296.0,0.0
7,Chi23,T,liq,Al2O3_liq,1.0,2.0,3.0,296.0,0.0
8,Chi23,T,cpx,Al2O3_cpx,0.0,1.0,1.0,296.0,0.0
9,Chi23,T,cpx,FeO_cpx,0.0,0.0,0.0,295.0,1.0
10,Chi23,T,cpx,Cr2O3_cpx,0.0,0.0,0.0,296.0,0.0
11,Chi23,T,cpx,Na2O_cpx,0.0,1.0,1.0,296.0,0.0
12,Chi23,T,cpx,K2O_cpx,0.0,0.0,0.0,296.0,0.0
13,Chi23,T,cpx,TiO2_cpx,0.0,1.0,1.0,296.0,0.0
14,Chi23,T,cpx,NiO_cpx,0.0,0.0,0.0,296.0,0.0
15,Chi23,T,cpx,MnO_cpx,0.0,0.0,1.0,296.0,0.0
16,Chi23,T,liq,FeO_liq,0.0,0.0,0.0,296.0,0.0
17,Chi23,T,liq,MgO_liq,0.0,1.0,1.0,296.0,0.0
18,Chi23,T,liq,MnO_liq,0.0,0.0,0.0,296.0,0.0
19,Chi23,T,liq,Na2O_liq,0.0,1.0,2.0,296.0,0.0
20,Chi23,T,liq,TiO2_liq,0.0,1.0,1.0,296.0,0.0
1,Jor22,P,liq,Al2O3_liq,0.13249999999999978,0.5762499999999998,1.2393333333333332,296.0,0.0
2,Jor22,P,cpx,SiO2_cpx,0.0250000000000003,0.3450000000000002,0.7958333333333338,288.0,8.0
3,Jor22,P,cpx,CaO_cpx,0.02416666666666665,0.30685833333333346,0.4925000000000001,292.0,4.0
4,Jor22,P,liq,SiO2_liq,0.020000000000000198,0.23454166666666626,1.233333333333333,296.0,0.0
5,Jor22,P,liq,Na2O_liq,0.0170833333333335,0.2408333333333336,0.6163333333333343,296.0,0.0
6,Jor22,P,cpx,Al2O3_cpx,0.0074999999999999,0.24206249999999999,0.5482499999999999,296.0,0.0
7,Jor22,P,cpx,FeO_cpx,0.0,0.13345833333333332,0.4850000000000003,295.0,1.0
8,Jor22,P,cpx,Cr2O3_cpx,0.0,0.0,0.0749999999999997,296.0,0.0
9,Jor22,P,cpx,Na2O_cpx,0.0,0.15547916666666659,0.4850000000000003,296.0,0.0
10,Jor22,P,cpx,MnO_cpx,0.0,0.031249999999999774,0.2875000000000001,296.0,0.0
11,Jor22,P,cpx,K2O_cpx,0.0,0.0,0.0,296.0,0.0
12,Jor22,P,cpx,MgO_cpx,0.0,0.12580416666666627,0.4850000000000003,294.0,2.0
13,Jor22,P,cpx,TiO2_cpx,0.0,0.09491666666666668,0.3666666666666667,296.0,0.0
14,Jor22,P,cpx,NiO_cpx,0.0,0.0,0.0,296.0,0.0
15,Jor22,P,liq,CaO_liq,0.0,0.15854166666666653,0.5059999999999998,296.0,0.0
16,Jor22,P,liq,FeO_liq,0.0,0.15137499999999982,0.3566666666666669,296.0,0.0
17,Jor22,P,liq,MgO_liq,0.0,0.08625,0.4000000000000003,296.0,0.0
18,Jor22,P,liq,K2O_liq,0.0,0.16791666666666646,0.4850000000000003,296.0,0.0
19,Jor22,P,liq,MnO_liq,0.0,0.1666666666666665,0.3333333333333335,296.0,0.0
20,Jor22,P,liq,TiO2_liq,0.0,0.13406249999999995,0.4850000000000003,296.0,0.0
1,Jor22,T,liq,SiO2_liq,6.25,23.541666666666686,38.0,296.0,0.0
2,Jor22,T,liq,Al2O3_liq,2.5,8.5625,19.75,296.0,0.0
3,Jor22,T,liq,MgO_liq,0.8333333333333144,6.5,10.0,296.0,0.0
4,Jor22,T,liq,K2O_liq,0.8333333333332575,6.354166666666657,10.0,296.0,0.0
5,Jor22,T,cpx,FeO_cpx,0.0,1.666666666666663,5.0,295.0,1.0
6,Jor22,T,cpx,Cr2O3_cpx,0.0,0.0,0.0,296.0,0.0
7,Jor22,T,cpx,CaO_cpx,0.0,2.5,6.166666666666743,292.0,4.0
8,Jor22,T,cpx,Al2O3_cpx,0.0,1.6666666666666288,5.416666666666743,296.0,0.0
9,Jor22,T,cpx,Na2O_cpx,0.0,1.25,5.0,296.0,0.0
10,Jor22,T,cpx,K2O_cpx,0.0,0.0,0.0,296.0,0.0
11,Jor22,T,cpx,MnO_cpx,0.0,0.0,4.166666666666629,296.0,0.0
12,Jor22,T,cpx,MgO_cpx,0.0,2.5,4.166666666666629,294.0,2.0
13,Jor22,T,cpx,TiO2_cpx,0.0,0.4999999999999715,3.333333333333257,296.0,0.0
14,Jor22,T,cpx,SiO2_cpx,0.0,3.333333333333257,7.5,288.0,8.0
15,Jor22,T,cpx,NiO_cpx,0.0,0.0,0.0,296.0,0.0
16,Jor22,T,liq,FeO_liq,0.0,5.0,8.75,296.0,0.0
17,Jor22,T,liq,CaO_liq,0.0,3.333333333333257,6.666666666666743,296.0,0.0
18,Jor22,T,liq,MnO_liq,0.0,1.25,6.25,296.0,0.0
19,Jor22,T,liq,Na2O_liq,0.0,2.5,5.0,296.0,0.0
20,Jor22,T,liq,TiO2_liq,0.0,2.5,6.25,296.0,0.0
1,NP17,P,liq,SiO2_liq,0.42376363247704685,0.5183679331593198,0.5694709696434996,296.0,0.0
2,NP17,P,liq,Al2O3_liq,0.3248881083415234,0.35967668348473636,0.3892169867921091,296.0,0.0
3,NP17,P,liq,Na2O_liq,0.116912291686702,0.15579046851286435,0.1714356553166647,296.0,0.0
4,NP17,P,liq,K2O_liq,0.0716054811485955,0.12641245909367477,0.1559318397827374,296.0,0.0
5,NP17,P,cpx,CaO_cpx,0.06320037078853595,0.16445469886405426,10.773144855742483,292.0,4.0
6,NP17,P,cpx,SiO2_cpx,0.060866023681471745,0.07038183742296221,10.35267719841217,288.0,8.0
7,NP17,P,liq,CaO_liq,0.051871916185858,0.06888991764124938,0.0735250218063887,296.0,0.0
8,NP17,P,liq,MgO_liq,0.0237376300741498,0.037642515843461205,0.0404047585016833,296.0,0.0
9,NP17,P,cpx,Al2O3_cpx,0.0117182918994771,0.017330708363105324,0.115955868436929,296.0,0.0
10,NP17,P,cpx,MgO_cpx,0.008025744979860801,0.03588396191110109,9.947859835410496,294.0,2.0
11,NP17,P,liq,TiO2_liq,0.0040780742053096505,0.0045362243578921995,0.0048085253419998,296.0,0.0
12,NP17,P,cpx,Na2O_cpx,0.00178229563812765,0.060035615036666524,0.0639335671534624,296.0,0.0
13,NP17,P,liq,MnO_liq,0.0011330604922869499,0.0012513292571212,0.0012926643362116,296.0,0.0
